,file_path,caption
0,background_asset/KYJ/1_modern_18/modernA1.jpg,"
    The mood of the studio should be promising, monotonous, discouraging and the best studio lighting is evenly distributed. 
    The two best background colors are Gray and Silver.
    "
1,background_asset/KYJ/1_modern_18/modernA2.jpg,"
    The mood of the studio should be grave, depressing, solemn and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Gray.
    "
2,background_asset/KYJ/1_modern_18/modernA3.jpg,"
    The mood of the studio should be promising, dull, discouraging and the best studio lighting is evenly distributed. 
    The two best background colors are Gray and Silver.
    "
3,background_asset/KYJ/1_modern_18/modernA4.jpg,"
    The mood of the studio should be promising, cozy, solemn and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Gray.
    "
4,background_asset/KYJ/1_modern_18/modernA_v1.jpg,"
    The mood of the studio should be promising, monotonous, dull and the best studio lighting is evenly distributed. 
    The two best background colors are Gray and Charcoal.
    "
5,background_asset/KYJ/1_modern_18/modernA_v2.jpg,"
    The mood of the studio should be promising, dull, monotonous and the best studio lighting is evenly distributed. 
    The two best background colors are Gray and Navy blue.
    "
6,background_asset/KYJ/1_modern_18/modernB1.jpg,"
    The mood of the studio should be solitary, monotonous, dull and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Charcoal.
    "
7,background_asset/KYJ/1_modern_18/modernB2.jpg,"
    The mood of the studio should be dull, promising, solitary and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Charcoal.
    "
8,background_asset/KYJ/1_modern_18/modernB3.jpg,"
    The mood of the studio should be solitary, cozy, monotonous and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Charcoal.
    "
9,background_asset/KYJ/1_modern_18/modernB4.jpg,"
    The mood of the studio should be solitary, monotonous, dull and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Charcoal.
    "
10,background_asset/KYJ/1_modern_18/modernB_v1.jpg,"
    The mood of the studio should be solitary, dull, monotonous and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Charcoal.
    "
11,background_asset/KYJ/1_modern_18/modernB_v2.jpg,"
    The mood of the studio should be solitary, monotonous, dull and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Charcoal.
    "
12,background_asset/KYJ/1_modern_18/modernC1.jpg,"
    The mood of the studio should be solitary, cozy, monotonous and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Gray.
    "
13,background_asset/KYJ/1_modern_18/modernC2.jpg,"
    The mood of the studio should be solitary, monotonous, cozy and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Gray.
    "
14,background_asset/KYJ/1_modern_18/modernC3.jpg,"
    The mood of the studio should be solitary, promising, suspenseful and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Charcoal.
    "
15,background_asset/KYJ/1_modern_18/modernC4.jpg,"
    The mood of the studio should be solitary, monotonous, dull and the best studio lighting is evenly distributed. 
    The two best background colors are Gray and Navy blue.
    "
16,background_asset/KYJ/1_modern_18/modernC_v1.jpg,"
    The mood of the studio should be solitary, monotonous, promising and the best studio lighting is evenly distributed. 
    The two best background colors are Navy blue and Gray.
    "
17,background_asset/KYJ/1_modern_18/modernC_v2.jpg,"
    The mood of the studio should be promising, irritating, monotonous and the best studio lighting is evenly distributed. 
    The two best background colors are Gray and Navy blue.
    "
18,background_asset/KYJ/2_luxury_12/luxury1.jpg,"
    The mood of the studio should be wearisome, solemn, solitary and the best studio lighting is evenly distributed. 
    The two best background colors are Teal and Aquamarine.
    "
19,background_asset/KYJ/2_luxury_12/luxury10.jpg,"
    The mood of the studio should be solitary, cozy, mysterious and the best studio lighting is dark. 
    The two best background colors are Teal and Navy blue.
    "
20,background_asset/KYJ/2_luxury_12/luxury11.jpg,"
    The mood of the studio should be solitary, cozy, suspenseful and the best studio lighting is natural light. 
    The two best background colors are Navy blue and Teal.
    "
21,background_asset/KYJ/2_luxury_12/luxury12.jpg,"
    The mood of the studio should be cozy, solitary, dull and the best studio lighting is natural light. 
    The two best background colors are Teal and Navy blue.
    "
22,background_asset/KYJ/2_luxury_12/luxury2.jpg,"
    The mood of the studio should be brisk, promising, suspenseful and the best studio lighting is natural light. 
    The two best background colors are Teal and Aquamarine.
    "
23,background_asset/KYJ/2_luxury_12/luxury3.jpg,"
    The mood of the studio should be monotonous, wearisome, promising and the best studio lighting is evenly distributed. 
    The two best background colors are Aquamarine and Teal.
    "
24,background_asset/KYJ/2_luxury_12/luxury4.jpg,"
    The mood of the studio should be wearisome, monotonous, grotesque and the best studio lighting is natural light. 
    The two best background colors are Teal and Aquamarine.
    "
25,background_asset/KYJ/2_luxury_12/luxury5.jpg,"
    The mood of the studio should be solitary, promising, monotonous and the best studio lighting is dark. 
    The two best background colors are Navy blue and Gray.
    "
26,background_asset/KYJ/2_luxury_12/luxury6.jpg,"
    The mood of the studio should be solitary, cozy, mysterious and the best studio lighting is dark. 
    The two best background colors are Navy blue and Aquamarine.
    "
27,background_asset/KYJ/2_luxury_12/luxury7.jpg,"
    The mood of the studio should be solitary, mysterious, promising and the best studio lighting is dark. 
    The two best background colors are Navy blue and Charcoal.
    "
28,background_asset/KYJ/2_luxury_12/luxury8.jpg,"
    The mood of the studio should be solitary, mysterious, monotonous and the best studio lighting is dark. 
    The two best background colors are Navy blue and Charcoal.
    "
29,background_asset/KYJ/2_luxury_12/luxury9.jpg,"
    The mood of the studio should be moving, suspenseful, encouraging and the best studio lighting is natural light. 
    The two best background colors are Navy blue and Teal.
    "
30,background_asset/KYJ/3_nature_12/natureA-v1.jpg,"
    The mood of the studio should be cozy, relaxing, solitary and the best studio lighting is natural light. 
    The two best background colors are Navy blue and Blue.
    "
31,background_asset/KYJ/3_nature_12/natureA-v2.jpg,"
    The mood of the studio should be relaxing, cozy, peaceful and the best studio lighting is natural light. 
    The two best background colors are Navy blue and Gray.
    "
32,background_asset/KYJ/3_nature_12/natureA1.jpg,"
    The mood of the studio should be relaxing, cozy, encouraging and the best studio lighting is natural light. 
    The two best background colors are Navy blue and Blue.
    "
33,background_asset/KYJ/3_nature_12/natureA2.jpg,"
    The mood of the studio should be relaxing, solemn, cozy and the best studio lighting is grow. 
    The two best background colors are Olive and Navy blue.
    "
34,background_asset/KYJ/3_nature_12/natureA3.jpg,"
    The mood of the studio should be relaxing, cozy, dull and the best studio lighting is grow. 
    The two best background colors are Navy blue and Gray.
    "
35,background_asset/KYJ/3_nature_12/natureA4.jpg,"
    The mood of the studio should be cozy, relaxing, peaceful and the best studio lighting is natural light. 
    The two best background colors are Navy blue and Olive.
    "
